StoryID,RegionSimplified,Country,GenreSimplified,PanelOrdinal,Valence,Arousal,valence_roll_5,arousal_roll_5
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.587878788,0,2,0.7,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.593939394,1,3,0.3,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.6,0.5,3,0,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.606060606,-1,3,-0.2,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.612121212,-0.5,3,-0.6,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.618181818,-1,3,-0.9,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.624242424,-1,3,-0.9,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.63030303,-1,4,-0.9,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.636363636,-1,3,-0.8,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.642424242,-0.5,2,-0.7,2.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.648484848,-0.5,2,-0.6,2.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.654545455,-0.5,2,-0.5,2.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.660606061,-0.5,3,-0.6,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.666666667,-0.5,3,-0.7,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.672727273,-1,4,-0.8,3.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.678787879,-1,4,-0.9,3.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.684848485,-1,4,-1,4.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.690909091,-1,4,-1,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.696969697,-1,5,-1,4.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.703030303,-1,5,-1,4.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.709090909,-1,5,-0.9,4.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.715151515,-1,5,-0.9,4.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.721212121,-0.5,4,-0.8,4.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.727272727,-1,4,-0.7,4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.733333333,-0.5,3,-0.6,3.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.73939393899999994,-0.5,4,-0.6,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.745454545,-0.5,3,-0.5,3.2
